id,s2_doy,doy,main_stage,main_stage_percent,secondary_stage,secondary_stage_percent,root_est,leaf_devel,squaring,flowering,boll_devel,boll_open,metalabel,sowing_date,harvest_date
17,260,260,6,100,5,20.0,0,0,0,0,1,2,15,19/4/2021,17/9/2021
18,123,124,1,90,0,,2,0,0,0,0,0,1,20/4/2021,2/10/2021
18,125,124,1,90,0,,2,0,0,0,0,0,1,20/4/2021,2/10/2021
18,130,131,2,100,0,,0,2,0,0,0,0,4,20/4/2021,2/10/2021
18,140,140,2,100,0,,0,2,0,0,0,0,4,20/4/2021,2/10/2021
18,148,148,2,100,0,,0,2,0,0,0,0,4,20/4/2021,2/10/2021
18,153,153,2,100,0,,0,2,0,0,0,0,4,20/4/2021,2/10/2021
18,158,159,2,100,0,,0,2,0,0,0,0,4,20/4/2021,2/10/2021
18,160,159,2,100,0,,0,2,0,0,0,0,4,20/4/2021,2/10/2021
18,168,167,3,100,0,,0,0,2,0,0,0,7,20/4/2021,2/10/2021
18,173,174,3,60,2,40.0,0,1,2,0,0,0,6,20/4/2021,2/10/2021
18,175,174,3,60,2,40.0,0,1,2,0,0,0,6,20/4/2021,2/10/2021
18,183,184,3,90,4,10.0,0,0,2,1,0,0,8,20/4/2021,2/10/2021
18,185,184,3,90,4,10.0,0,0,2,1,0,0,8,20/4/2021,2/10/2021
18,193,193,4,100,5,2.0,0,0,0,2,1,0,11,20/4/2021,2/10/2021
18,200,201,4,100,5,20.0,0,0,0,2,1,0,11,20/4/2021,2/10/2021
18,215,216,4,100,5,80.0,0,0,0,2,1,0,11,20/4/2021,2/10/2021
18,223,223,4,100,5,100.0,0,0,0,2,1,0,11,20/4/2021,2/10/2021
18,235,235,5,100,4,50.0,0,0,0,1,2,0,12,20/4/2021,2/10/2021
18,245,246,5,100,6,20.0,0,0,0,0,2,1,14,20/4/2021,2/10/2021
18,255,256,6,100,5,90.0,0,0,0,0,1,2,15,20/4/2021,2/10/2021
18,265,265,6,100,5,30.0,0,0,0,0,1,2,15,20/4/2021,2/10/2021
19,128,128,1,100,0,,2,0,0,0,0,0,1,19/4/2021,2/10/2021
19,138,138,2,100,0,,0,2,0,0,0,0,4,19/4/2021,2/10/2021
19,145,145,2,100,0,,0,2,0,0,0,0,4,19/4/2021,2/10/2021
19,150,151,2,100,0,,0,2,0,0,0,0,4,19/4/2021,2/10/2021
19,155,155,2,100,0,,0,2,0,0,0,0,4,19/4/2021,2/10/2021
19,160,161,2,100,0,,0,2,0,0,0,0,4,19/4/2021,2/10/2021
19,170,170,3,100,0,,0,0,2,0,0,0,7,19/4/2021,2/10/2021
19,180,180,3,100,0,,0,0,2,0,0,0,7,19/4/2021,2/10/2021
19,188,189,3,100,4,80.0,0,0,2,1,0,0,8,19/4/2021,2/10/2021
19,190,189,3,100,4,80.0,0,0,2,1,0,0,8,19/4/2021,2/10/2021
19,198,198,4,100,5,50.0,0,0,0,2,1,0,11,19/4/2021,2/10/2021
19,205,205,4,100,5,60.0,0,0,0,2,1,0,11,19/4/2021,2/10/2021
19,220,220,4,100,5,80.0,0,0,0,2,1,0,11,19/4/2021,2/10/2021
19,230,231,5,100,4,100.0,0,0,0,1,2,0,12,19/4/2021,2/10/2021
19,238,239,5,100,6,10.0,0,0,0,0,2,1,14,19/4/2021,2/10/2021
19,240,239,5,100,6,10.0,0,0,0,0,2,1,14,19/4/2021,2/10/2021
19,248,248,5,100,6,50.0,0,0,0,0,2,1,14,19/4/2021,2/10/2021
19,260,260,6,100,5,40.0,0,0,0,0,1,2,15,19/4/2021,2/10/2021
19,270,270,6,100,0,,0,0,0,0,0,2,16,19/4/2021,2/10/2021
20,130,130,1,100,0,,2,0,0,0,0,0,1,,21/9/2021
20,138,139,2,100,0,,0,2,0,0,0,0,4,,21/9/2021
20,140,139,2,100,0,,0,2,0,0,0,0,4,,21/9/2021
20,145,146,2,100,0,,0,2,0,0,0,0,4,,21/9/2021
20,153,152,2,100,0,,0,2,0,0,0,0,4,,21/9/2021
20,158,158,2,100,0,,0,2,0,0,0,0,4,,21/9/2021
20,163,163,2,100,0,,0,2,0,0,0,0,4,,21/9/2021
20,173,173,3,100,0,,0,0,2,0,0,0,7,,21/9/2021
